RK,YEAR,PLAYER,TEAM,CONF,MIN%,TS,OR,DR,AST,TO,BLK,STL,FTR,AST,REB,PTS
1,Sr,Tyree Appleby,Wake Forest,ACC,91.1,58,1.4,9.4,34.6,18.6,0.2,2.7,48.4,6.4,3.5,18.8
2,Sr,El Ellis,Louisville,ACC,90.1,52.7,1.1,7.8,30.7,20.8,0.2,1.6,34.3,4.4,2.6,17.7
3,Sr,Jarkel Joiner,North Carolina St.,ACC,89.4,55.2,2.3,12.9,18.3,10.3,0.3,2.1,29.4,3.7,4.7,17.1
4,So,Sean Pedulla,Virginia Tech,ACC,88.8,54.1,1.4,10.8,19.8,14.9,0.5,2.1,23.9,3.8,3.7,15.2
5,Sr,Dane Goodwin,Notre Dame,ACC,88.5,53,3.6,13.6,11.2,9,0.8,1.5,14.8,2,5.1,11.3
6,Jr,Caleb Love,North Carolina,ACC,87.7,49.1,1.1,10.3,16.8,15.2,0.6,1.7,26.6,2.9,3.7,16.7
7,Sr,Casey Morsell,North Carolina St.,ACC,87.3,61.1,4.3,9.8,4.4,7.9,2,1.8,17.6,0.9,4.3,11.9
8,Sr,Jordan Miller,Miami FL,ACC,86.3,61,7.6,13.8,14.3,11.2,0.9,2.2,28.3,2.7,6.2,15.3
9,Sr,Hunter Tyson,Clemson,ACC,86.2,63.9,4.7,26.1,8,9.4,0.4,1.6,32,1.4,9.5,15.5
10,Jr,RJ Davis,North Carolina,ACC,85.9,56.7,1.9,13.9,18,13.9,0.2,1.8,30.8,3.1,5,16.1
11,Sr,Joseph Girard III,Syracuse,ACC,85.3,54.2,0.7,8.4,16.9,16.6,0,1.4,22.3,3,2.8,16.4
12,Sr,Nate Laszewski,Notre Dame,ACC,85.2,65.2,3.2,22.1,7.7,12,2.2,0.8,39.2,1.3,7.2,13.7
13,Jr,Darin Green Jr.,Florida St.,ACC,85.1,52.3,1.4,9,12.2,13.6,1.3,1.6,11.3,2,2.9,13.4
14,Sr,Cormac Ryan,Notre Dame,ACC,84.4,54,2.4,11.8,14.4,12.9,1.3,2.3,22.9,2.5,4,12.3
15,So,Terquavion Smith,North Carolina St.,ACC,83.8,49.4,2.1,10.3,23.1,13.1,1.1,2.5,26.5,4.2,3.6,17.5
16,Fr,Judah Mintz,Syracuse,ACC,82.8,52.5,1.2,6.3,27.2,15.5,0.5,3.2,45.3,4.6,2.3,16.3
17,Jr,Isaiah Wong,Miami FL,ACC,82.6,58.3,3.7,11.5,18.4,14.8,1.4,2.4,41,3.4,4.3,16.2
18,Sr,Kihei Clark,Virginia,ACC,82.4,53.5,1.6,8.4,33,17.2,0.5,2.1,47.7,5.4,2.6,10.9
19,So,Jaeden Zackery,Boston College,ACC,82.3,51.8,3,8.4,16.3,18.1,0.5,2.6,35.2,2.7,3.2,10.7
20,So,Miles Kelly,Georgia Tech,ACC,81.3,54.7,1.1,11,7.9,12.8,0.2,1.3,14.1,1.3,3.4,14.4
21,Sr,Jesse Edwards,Syracuse,ACC,80.8,62.5,11.6,23.8,9.2,16.5,10.3,2.4,46.1,1.5,10.3,14.5
22,Sr,Justyn Mutts,Virginia Tech,ACC,80.2,59,7,19.4,27.4,21.1,2.6,2.7,31.2,4.7,7.4,13.2
23,Sr,Nelly Cummings,Pittsburgh,ACC,79.8,55.5,1.1,7.9,27.7,19.7,0.1,1.3,24.5,4.8,2.6,11
24,Jr,Blake Hinson,Pittsburgh,ACC,79.4,56.8,5.6,16.4,7.9,14,1.8,1.2,32.3,1.2,6.2,15.6
25,So,Matthew Cleveland,Florida St.,ACC,78.9,50.9,5,21.6,11.1,16.1,2.7,1.4,32.9,1.8,7.4,13.8
26,Sr,Jamarius Burton,Pittsburgh,ACC,78.7,56.4,4.8,11.3,26.9,17.3,0.4,1.6,28.8,4.3,4.8,15.6
27,Sr,Leaky Black,North Carolina,ACC,78.7,50.8,6.1,16.4,8.2,12.4,2.5,2.3,27.3,1.5,6.5,7.3
28,So,Cameron Hildreth,Wake Forest,ACC,78.6,54.3,3.7,15.5,17.3,18.1,0.5,2.2,41.4,2.8,5.3,12.4
29,Jr,Reece Beekman,Virginia,ACC,78.6,50.7,2,9.5,32.3,14.9,1.9,3.5,32.3,5.3,3,9.4
