RK,YEAR,PLAYER,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,REB,PTS
1,Sr,Sincere Carry,Kent St.,MAC,92.3,3,3.3,105.6,26,46.4,50.9,1,10.4,24.8,15.3,0.7,2.4,3.7,17.7
2,Sr,Max Abmas,Oral Roberts,Sum,91,5.4,6,122,27.4,55.2,60.9,1.6,10.1,19.4,10.8,0.5,1.9,4.4,22.2
3,Sr,Markquis Nowell,Kansas St.,B12,89.9,4.7,7.6,109.1,26.7,47,55.2,1.1,9.8,40.3,21.1,0.2,3.7,3.5,16.8
4,Sr,Jarkel Joiner,North Carolina St.,ACC,89.4,4.5,4.7,117.6,23,50.3,55.2,2.3,12.9,18.3,10.3,0.3,2.1,4.7,17.1
5,Sr,Jalen Pickett,Penn St.,B10,89.3,6.6,10.4,120.4,29.1,56.1,58.6,3.8,19.7,40.4,12.9,1.6,1.7,7.3,17.9
6,Sr,Drew Peterson,USC,P12,88.9,3.4,5,104.9,22.8,50.8,54.3,3.1,15.5,24.3,19.6,2.2,1.8,6.2,14
7,Sr,Tajion Jones,UNC Asheville,BSth,88.5,3.6,4.7,125.9,16.9,65,65.9,3.5,13.2,7.3,10.5,1.2,1.6,5.2,15
8,Jr,Jalen Wilson,Kansas,B12,87.9,4.5,6.1,105.2,28.5,48.6,53.5,5.2,21.4,13.2,13.5,1.5,1.6,8.4,20.1
9,Sr,Souley Boum,Xavier,BE,87.3,5,5.7,121.4,21.1,54.9,60.8,1.4,12.3,20.6,14.4,0.3,1.6,4.3,16.5
10,Sr,Casey Morsell,North Carolina St.,ACC,87.3,3.7,4.2,127.7,13.8,59.3,61.1,4.3,9.8,4.4,7.9,2,1.8,4.3,11.9
11,Sr,Demetre Roberts,Fairleigh Dickinson,NEC,87.1,2.8,-1.9,109.5,24.8,48.8,54.4,1.5,9.7,22.2,15.7,0.4,1.9,3,16.7
12,So,Ajay Mitchell,UC Santa Barbara,BW,86.4,4.7,5,117.8,26.3,54,60.2,1.3,8.8,29.9,14.8,0.9,2.4,2.7,16.4
13,Sr,Jordan Miller,Miami FL,ACC,86.3,5,6.4,126.4,20.2,58.5,61,7.6,13.8,14.3,11.2,0.9,2.2,6.2,15.3
14,Sr,Tucker Richardson,Colgate,Pat,86.3,2.4,1.9,103.5,25.4,51,51.3,1.5,16.7,28.9,16.9,0.8,3.6,5.2,13.8
15,Sr,Boo Buie,Northwestern,B10,86.1,4,4.9,105,28.7,46.8,52.1,1.6,9.8,31.4,15.2,0.6,2,3.3,17.1
16,Sr,Miles Norris,UC Santa Barbara,BW,85.5,3.7,4.5,119.2,19.5,54.8,59,6.9,16.6,6.9,9.7,2.5,1.9,6.1,14.1
17,So,Tyson Degenhart,Boise St.,MWC,85.4,4.4,6.4,120.3,20,57.9,59.8,6.8,11.8,11,11.1,1.2,0.9,5.4,14.3
18,Sr,Chase Audige,Northwestern,B10,85.3,2,4,94.4,25.2,44.1,47.8,2.3,9.3,18.3,16.7,2.5,4.2,3.4,13.8
19,So,Bryce Hopkins,Providence,BE,85.3,3.7,3.9,110.2,23.5,49.5,55.4,5.6,22.6,12.8,16.1,1.8,1.4,8.5,16.1
20,Sr,Mike Bothwell,Furman,SC,85.2,4.6,3.5,123.9,23.7,56.7,62.3,4.9,7,15.8,12.2,0.4,1.6,3.5,18
21,Sr,Logan Johnson,Saint Mary's,WCC,85.2,3.7,6.8,110.7,24.4,50,53.3,2,16,21.8,13.8,1.3,2.9,4.8,14.6
22,Sr,Max Rice,Boise St.,MWC,85.2,3,4.3,108.7,20.5,53.3,56.5,1.7,13.3,9.3,14.1,0.2,1.8,4.6,13.9
23,Sr,Jarod Lucas,Nevada,MWC,85.1,4,3.1,112.7,23.3,50.7,57.6,0.8,8.5,9.3,8.2,0,0.7,2.7,17.3
24,Sr,Drew Pember,UNC Asheville,BSth,85.1,4.4,7.3,112.3,31.4,52,61.1,6.4,24.9,15.3,17.6,6.9,1.4,9.4,21.2
25,Jr,Marques Warrick,Northern Kentucky,Horz,85.1,3.5,3.8,109.6,28.1,51.2,55.3,1.6,7.1,18.9,13.8,1,2.3,2.4,19.1
26,Fr,Anthony Black,Arkansas,SEC,85.1,2.8,6,102.6,22.6,51,55.8,4.7,12.7,22.1,23.2,1.8,3.3,5.1,12.8
27,Jr,Dajuan Harris Jr.,Kansas,B12,84.8,3.1,6.2,111.6,16.5,52.7,53.6,2.3,5.7,31.3,19.6,1.4,3.5,2.4,8.7
28,Sr,Andrew Funk,Penn St.,B10,84.5,3.1,3.3,114.3,16.5,59.5,61.3,1,9,5.9,9.7,0.2,1,2.9,12.1
29,Jr,Ricky Council IV,Arkansas,SEC,84.2,3.5,3.6,106.7,23.8,48.5,54.5,3.1,8.5,13,15,0.7,2,3.4,15.9
30,Sr,Kendric Davis,Memphis,Amer,83.9,5.4,7.4,111.5,31.6,47.5,55.4,1.8,9.8,30.7,15.6,0.6,3.2,3.7,22.1
31,Sr,Keyontae Johnson,Kansas St.,B12,83.8,3.7,5.6,106.4,24.8,57.3,60,5.8,18.1,14.2,20.6,0.6,1.9,7,17.7
32,So,Ryan Nembhard,Creighton,BE,83.8,3.1,2.8,108.2,20.7,50,53.6,1.4,11.7,26.3,17.2,0.2,1.1,4.1,11.9
33,So,Terquavion Smith,North Carolina St.,ACC,83.8,3.5,3.4,104.6,28.7,46.3,49.4,2.1,10.3,23.1,13.1,1.1,2.5,3.6,17.5
34,Jr,Matt Allocco,Princeton,Ivy,83.7,2.6,2.2,116.7,16.2,58.6,61.1,2.3,14.3,11.2,15.3,0.7,1.3,4.9,11
35,Sr,Joey Hauser,Michigan St.,B10,83.6,4.4,7.2,120.1,19.7,59.8,63.3,5.1,18.5,11.7,14.3,0.8,0.7,6.9,14.2
36,Jr,Daniss Jenkins,Iona,MAAC,83.4,3.3,3.9,108.8,26.3,48.2,51.6,4,11.1,27.8,15.2,1.8,2.2,4.4,15.6
37,Sr,Tyson Walker,Michigan St.,B10,83.4,3.6,5.1,110.7,22,53.1,55,1,7.6,17.8,10.7,0.9,2.1,2.5,14.6
38,Sr,Marcus Carr,Texas,B12,83.3,4.3,7.2,113.2,23.1,51,54.7,1,9.4,22.7,10.9,0.1,3,3,15.9
